impound_no,Animal_ID,Data_Source,Record_Type,Link,Current_Location,Animal_Name,animal_type,Age,Animal_Gender,Animal_Breed,Animal_Color,Date,Date_Type,Obfuscated_Address,City,State,Zip,jurisdiction,obfuscated_latitude,obfuscated_longitude,Image,image_alt_text,Memo,Temperament
K15-081328,A467465,Regional Animal Services of King County,ADOPTABLE,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Petal,Cat,13 YEARS 7 MONTHS,Spayed Female,Domestic Longhair,Black / White,06/19/2015 12:00:00 AM,Received on,21615 64TH AVE S,KENT,WA,98032,MAPLE VALLEY,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A467465,Image Copyright HLP Inc. 2019,Received on: 2015-06-19<p/> Description: Black / White Spayed Female Domestic Longhair Cat<p/> Age: 13 YEARS 7 MONTHS<p/> Current Location: In RASKC Foster Home <p/><p/>Adoption Fee: An Adoption Fee has not been set. Please inquire with the shelter.<p/>,BLUE
K19-115181,A579224,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1957360,In Public Home,,Cat,,Female,Domestic Shorthair,Black / White,01/30/2019 12:00:00 AM,Date Found,98TH AND S 246TH PL,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1957360,Image Copyright HLP Inc. 2019,,
K19-115187,A579243,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,,,Dead Dog,NO AGE,Female,Pit Bull,Gray,02/01/2019 12:00:00 AM,Received on,12600 SE 208TH ST,KENT,WA,98031,KENT,,,,Image Copyright HLP Inc. 2019,"Received on: 2019-02-01<p/> Found Near: 12600 SE 208TH ST, KENT WA 98031<p/> Description: Gray Female Pit Bull Dog<p/> Age: NO AGE<p/>",
K19-115186,A579242,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,,,Dead Dog,NO AGE,Female,Pit Bull,Black / White,02/01/2019 12:00:00 AM,Received on,12600 SE 208TH ST,KENT,WA,98031,KENT,,,,Image Copyright HLP Inc. 2019,"Received on: 2019-02-01<p/> Found Near: 12600 SE 208TH ST, KENT WA 98031<p/> Description: Black / White Female Pit Bull Dog<p/> Age: NO AGE<p/>",
K19-115185,A579241,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1957503,LOST,Scooter,Cat,,Male,Domestic Longhair,Unknown,01/29/2019 12:00:00 AM,Date Lost,PACIFIC STREET & 5TH AVE,BLACK DIAMOND,WA,98010,BLACK DIAMOND,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1957503,Image Copyright HLP Inc. 2019,,
K19-115098,A578999,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A578999,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Michael,Rabbit Sh,6 MONTHS,Neutered Male,Rabbit Sh,Gray,01/26/2019 12:00:00 AM,Received on,32400 5TH AVE,BLACK DIAMOND,WA,98010,BLACK DIAMOND,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A578999,Image Copyright HLP Inc. 2019,"Received on: 2019-01-26<p/> Found Near: 32400 5TH AVE, BLACK DIAMOND WA 98010<p/> Description: Gray Neutered Male Rabbit Sh Rabbit Sh<p/> Age: 6 MONTHS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K19-115191,A579271,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1957618,LOST,Tootsie,Cat,,Male,Domestic Shorthair,Unknown,01/31/2019 12:00:00 AM,Date Lost,2300 N 60TH ST,SEATTLE,WA,98103,SEATTLE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1957618,Image Copyright HLP Inc. 2019,,
K19-115195,A579280,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1957692,LOST,Denali,Dog,,Female,Belgian Malinois,Unknown,02/01/2019 12:00:00 AM,Date Lost,MYRTLE AND HOLLY PARK DRIVE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1957692,Image Copyright HLP Inc. 2019,,
K19-114628,A577667,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A577667,Meowtropolitan,Eugene,Cat,2 YEARS 1 MONTH,Neutered Male,Domestic Shorthair,Org Tabby / White,01/02/2019 12:00:00 AM,Received on,700 GRIFFIN AVE,ENUMCLAW,WA,98022,ENUMCLAW,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A577667,Image Copyright HLP Inc. 2019,"Received on: 2019-01-02<p/> Found Near: 700 GRIFFIN AVE, ENUMCLAW WA 98022<p/> Description: Org Tabby / White Neutered Male Domestic Shorthair Cat<p/> Age: 2 YEARS 1 MONTH<p/> Current Location: Meowtropolitan<p/>",BLUE
K18-111806,A567224,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A567224,Neko,Snickers,Cat,3 YEARS 5 MONTHS,Neutered Male,Domestic Shorthair,Brn Tabby,09/02/2018 12:00:00 AM,Received on,10800 SE 222ND PL,KENT,WA,98031,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A567224,Image Copyright HLP Inc. 2019,"Received on: 2018-09-02<p/> Found Near: 10800 SE 222ND PL, KENT WA 98031<p/> Description: Brn Tabby Neutered Male Domestic Shorthair Cat<p/> Age: 3 YEARS 5 MONTHS<p/> Current Location: Neko<p/>",
K18-110899,A564655,Regional Animal Services of King County,ADOPTABLE,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Checkers,Cat,14 YEARS 6 MONTHS,Spayed Female,Domestic Shorthair,Black / White,08/02/2018 12:00:00 AM,Received on,21615 64TH AVE S,KENT,WA,98032,KING COUNTY,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A564655,Image Copyright HLP Inc. 2019,"Received on: 2018-08-02<p/> Description: Black / White Spayed Female Domestic Shorthair Cat<p/> Age: 14 YEARS 6 MONTHS<p/> Current Location: In RASKC Foster Home <p/>Hi! My name is Checkers and I am available for adoption.<p/><p/>I was brought in by my previous owner on August 2nd, 2018 because they were moving and could not keep me. My previous owner described me as friendly and sweet. They also said that I like to hang out in windows and watch birds, lay on your lap and that I'm not a big fan of being picked up. <p/><p/>My personality color is red.  I enjoy getting pets on the head most and I like sitting on your lap after I get to know you!  <p/><p/>My caregivers have noticed I do not like other cats.  I prefer to be the only princess in the house!<p/><p/>Adoption Fee: $30.00<p/>",RED
K19-114637,A577743,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A577743,"Covington Petco 27111 167TH PL SE COVINGTON, WA 98042",Maya,Cat,2 YEARS 1 MONTH,Spayed Female,Domestic Mediumhair,Tortie,01/02/2019 12:00:00 AM,Received on,1000 CENTRAL AVE N,KENT,WA,98032,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A577743,Image Copyright HLP Inc. 2019,"Received on: 2019-01-02<p/> Found Near: 1000 CENTRAL AVE N, KENT WA 98032<p/> Description: Tortie Spayed Female Domestic Mediumhair Cat<p/> Age: 2 YEARS 1 MONTH<p/> Current Location: Covington Petco 27111 167TH PL SE COVINGTON, WA 98042<p/>",GREEN
