Rk,Player,Age,Pos,Date,Tm,,Opp,,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
238,Kyle Lowry\lowryky01,32-345,G,3/5/19,TOR,,HOU,L,1,42,4,16,0.25,4,11,0.364,0,5,0,0,0,,2,4,6,6,0,0,5,3,8,-1
239,Thon Maker\makerth01,22-035,F-C,4/1/19,DET,@,IND,L,1,42,4,10,0.4,0,3,0,4,7,0.571,2,2,1,1,5,6,2,0,4,1,2,14,13.2
240,Lauri Markkanen\markkla01,21-227,F-C,1/4/19,CHI,,IND,L,1,42,11,20,0.55,7,11,0.636,4,9,0.444,1,2,0.5,1,8,9,2,1,0,6,4,27,14.9
241,Rodney McGruder\mcgruro01,27-083,G,10/20/18,MIA,,CHO,L,1,42,7,11,0.636,3,5,0.6,4,6,0.667,1,2,0.5,2,8,10,2,2,1,3,3,19,17.4
242,Josh Okogie\okogijo01,20-133,G,1/12/19,MIN,,NOP,W,1,42,6,14,0.429,5,6,0.833,1,8,0.125,4,5,0.8,0,5,5,2,1,0,1,2,17,11.3
243,Cedi Osman\osmande01,23-280,F,1/13/19,CLE,@,LAL,W,1,42,8,17,0.471,6,11,0.545,2,6,0.333,2,4,0.5,0,8,8,1,2,0,2,3,20,12.4
244,Cedi Osman\osmande01,23-229,F,11/23/18,CLE,@,PHI,W,1,42,7,14,0.5,5,8,0.625,2,6,0.333,4,5,0.8,0,8,8,2,0,0,1,4,20,13.8
245,Cedi Osman\osmande01,23-227,F,11/21/18,CLE,,LAL,L,1,42,7,13,0.538,2,6,0.333,5,7,0.714,2,2,1,1,6,7,2,0,1,0,4,21,17.7
246,Kelly Oubre\oubreke01,23-013,F,12/22/18,PHO,@,WAS,L,0,42,6,14,0.429,3,6,0.5,3,8,0.375,5,6,0.833,1,4,5,0,1,0,1,3,20,12.9
247,Jabari Parker\parkeja01,23-235,F,11/5/18,CHI,@,NYK,W,1,42,7,15,0.467,7,13,0.538,0,2,0,1,1,1,1,7,8,2,0,1,4,2,15,7.4
248,Julius Randle\randlju01,24-106,F-C,3/15/19,NOP,,POR,L,1,42,20,34,0.588,18,27,0.667,2,7,0.286,3,11,0.273,5,6,11,6,2,3,7,3,45,31.4
249,Austin Rivers\riverau01,26-157,G,1/5/19,HOU,@,POR,L,1,42,8,15,0.533,3,5,0.6,5,10,0.5,0,0,,0,1,1,1,0,0,1,5,21,11.7
250,Rajon Rondo\rondora01,32-339,G,1/27/19,LAL,,PHO,W,1,42,4,9,0.444,4,8,0.5,0,1,0,0,0,,0,4,4,11,1,0,3,3,8,9
251,D'Angelo Russell\russeda01,23-030,G,3/25/19,BRK,@,POR,L,1,42,16,34,0.471,13,20,0.65,3,14,0.214,4,8,0.5,2,7,9,8,1,0,6,1,39,23.7
252,Collin Sexton\sextoco01,20-032,G,2/5/19,CLE,,BOS,L,1,42,11,24,0.458,8,17,0.471,3,7,0.429,2,2,1,1,3,4,3,2,0,2,2,27,17.5
253,Collin Sexton\sextoco01,19-307,G,11/7/18,CLE,,OKC,L,1,42,7,14,0.5,6,12,0.5,1,2,0.5,0,0,,0,2,2,1,0,1,3,4,15,5.4
254,Pascal Siakam\siakapa01,24-241,F,11/29/18,TOR,,GSW,W,1,42,8,10,0.8,5,6,0.833,3,4,0.75,7,8,0.875,0,2,2,1,0,1,1,3,26,21.6
255,Ben Simmons\simmobe01,22-243,G-F,3/20/19,PHI,,BOS,W,1,42,5,9,0.556,5,9,0.556,0,0,,3,4,0.75,3,5,8,7,3,2,2,3,13,18
256,Ben Simmons\simmobe01,22-197,G-F,2/2/19,PHI,@,SAC,L,1,42,9,14,0.643,9,14,0.643,0,0,,4,6,0.667,2,6,8,4,1,0,3,1,22,18.6
257,Tristan Thompson\thomptr01,27-270,F-C,12/8/18,CLE,,WAS,W,1,42,11,18,0.611,11,18,0.611,0,0,,1,2,0.5,7,12,19,5,0,2,0,3,23,26.6
258,Allonzo Trier\trieral01,22-292,G,11/5/18,NYK,,CHI,L,1,42,5,15,0.333,3,11,0.273,2,4,0.5,9,9,1,0,3,3,1,2,1,2,3,21,13.6
259,P.J. Tucker\tuckepj01,33-259,F,1/19/19,HOU,,LAL,W,1,42,4,12,0.333,3,5,0.6,1,7,0.143,0,0,,4,5,9,2,5,1,2,5,9,9.6
260,P.J. Tucker\tuckepj01,33-203,F,11/24/18,HOU,@,CLE,L,1,42,3,7,0.429,2,3,0.667,1,4,0.25,0,0,,2,7,9,0,0,0,2,5,7,2.8
261,P.J. Tucker\tuckepj01,33-256,F,1/16/19,HOU,,BRK,L,1,42,7,12,0.583,4,6,0.667,3,6,0.5,3,6,0.5,4,6,10,1,2,1,1,3,20,19
262,Noah Vonleh\vonleno01,23-112,F,12/14/18,NYK,@,CHO,W,1,42,5,13,0.385,3,5,0.6,2,8,0.25,3,6,0.5,0,11,11,7,0,1,1,2,15,13.8
263,Dion Waiters\waitedi01,27-114,G,4/3/19,MIA,,BOS,L,1,42,8,22,0.364,3,9,0.333,5,13,0.385,0,0,,0,3,3,5,1,0,1,2,21,12.4
264,Kemba Walker\walkeke02,28-322,G,3/26/19,CHO,,SAS,W,1,42,14,31,0.452,12,23,0.522,2,8,0.25,8,11,0.727,1,8,9,11,0,1,2,1,38,29.8
265,John Wall\walljo01,28-064,G,11/9/18,WAS,@,ORL,L,1,42,9,21,0.429,9,18,0.5,0,3,0,1,2,0.5,0,7,7,12,2,1,3,2,19,16.9
