Date,VH,Team,Spread
3/31,H,Atlanta,230.5
3/31,V,Dallas,218
3/31,H,OklahomaCity,12.5
3/31,V,LALakers,231
3/31,H,NewOrleans,3
3/31,V,Sacramento,224.5
3/31,H,SanAntonio,10.5
3/31,V,Washington,227.5
3/31,H,Denver,10.5
3/31,V,Charlotte,230
3/31,H,GoldenState,11
3/31,V,Memphis,224
3/31,H,LAClippers,10
4/1,V,Detroit,203.5
4/1,H,Indiana,5.5
4/1,V,Miami,213
4/1,H,Boston,7
4/1,V,Milwaukee,229.5
4/1,H,Brooklyn,1.5
4/1,V,Orlando,216
4/1,H,Toronto,6.5
4/1,V,Chicago,213
4/1,H,NewYork,3.5
4/1,V,Portland,3.5
4/1,H,Minnesota,225.5
4/1,V,Philadelphia,5
4/1,H,Dallas,219
4/1,V,Charlotte,218
4/1,H,Utah,11
4/1,V,Cleveland,224
4/1,H,Phoenix,2
4/2,V,LALakers,226
4/2,H,OklahomaCity,12.5
4/2,V,Atlanta,230
4/2,H,SanAntonio,11
4/2,V,Houston,5.5
4/2,H,Sacramento,226
4/2,V,Denver,220
4/2,H,GoldenState,8.5
4/3,V,Indiana,205.5
4/3,H,Detroit,2.5
4/3,V,NewYork,212.5
4/3,H,Orlando,13
4/3,V,Chicago,225.5
4/3,H,Washington,9.5
4/3,V,Philadelphia,4.5
4/3,H,Atlanta,239.5
4/3,V,Boston,214
4/3,H,Miami,1
4/3,V,Toronto,2
4/3,H,Brooklyn,228.5
4/3,V,Charlotte,4.5
4/3,H,NewOrleans,229.5
4/3,V,Minnesota,227
4/3,H,Dallas,2.5
4/3,V,SanAntonio,214.5
4/3,H,Denver,5
4/3,V,Utah,10.5
4/3,H,Phoenix,219.5
4/3,V,Memphis,216.5
4/3,H,Portland,10.5
4/3,V,Houston,2.5
4/3,H,LAClippers,229
4/4,V,Milwaukee,4
4/4,H,Philadelphia,231.5
4/4,V,Cleveland,229.5
4/4,H,Sacramento,10
4/4,V,GoldenState,13.5
4/4,H,LALakers,226.5
4/5,V,SanAntonio,7
4/5,H,Washington,225.5
4/5,V,Toronto,6
4/5,H,Charlotte,224
4/5,V,Atlanta,225.5
4/5,H,Orlando,9
4/5,V,NewYork,216.5
4/5,H,Houston,18
4/5,V,Boston,213.5
4/5,H,Indiana,pk
4/5,V,Miami,4
4/5,H,Minnesota,218.5
4/5,V,Detroit,216
4/5,H,OklahomaCity,5.5
4/5,V,Memphis,211.5
4/5,H,Dallas,4
4/5,V,Sacramento,222
4/5,H,Utah,10
4/5,V,NewOrleans,2.5
4/5,H,Phoenix,228.5
4/5,V,Cleveland,225
4/5,H,GoldenState,15.5
4/5,V,LALakers,228
4/5,H,LAClippers,11.5
4/5,V,Portland,216
4/5,H,Denver,6
4/6,V,Brooklyn,235.5
4/6,H,Milwaukee,3.5
4/6,V,Philadelphia,10.5
4/6,H,Chicago,227.5
4/7,V,Miami,214.5
4/7,H,Toronto,5.5
4/7,V,SanAntonio,8.5
4/7,H,Cleveland,219.5
4/7,V,OklahomaCity,6.5
4/7,H,Minnesota,229
4/7,V,Charlotte,217.5
4/7,H,Detroit,6.5
4/7,V,Brooklyn,220
4/7,H,Indiana,2.5
4/7,V,Dallas,214
4/7,H,Memphis,pk
4/7,V,Atlanta,235
4/7,H,Milwaukee,11.5
4/7,V,Phoenix,223
4/7,H,Houston,18.5
4/7,V,Orlando,218
4/7,H,Boston,3.5
4/7,V,Washington,4
4/7,H,NewYork,226
4/7,V,LAClippers,237.5
4/7,H,GoldenState,11.5
4/7,V,Denver,219
4/7,H,Portland,8.5
4/7,V,NewOrleans,232.5
4/7,H,Sacramento,11.5
4/7,V,Utah,12
4/7,H,LALakers,216.5
4/9,V,Memphis,210
4/9,H,Detroit,11.5
4/9,V,Charlotte,8.5
4/9,H,Cleveland,220.5
4/9,V,Boston,222.5
4/9,H,Washington,5
4/9,V,Philadelphia,219
4/9,H,Miami,6.5
4/9,V,NewYork,215
4/9,H,Chicago,2
4/9,V,Toronto,7.5
4/9,H,Minnesota,227
4/9,V,GoldenState,9.5
4/9,H,NewOrleans,235
4/9,V,Phoenix,225
4/9,H,Dallas,8.5
4/9,V,Denver,212.5
4/9,H,Utah,2
4/9,V,Houston,3
4/9,H,OklahomaCity,229.5
4/9,V,Portland,9.5
4/9,H,LALakers,225.5
4/10,V,GoldenState,5
4/10,H,Memphis,214.5
4/10,V,OklahomaCity,4.5
4/10,H,Milwaukee,227.5
4/10,V,Dallas,219
4/10,H,SanAntonio,14.5
4/10,V,Chicago,218.5
4/10,H,Philadelphia,6
4/10,V,Orlando,217.5
4/10,H,Charlotte,4
4/10,V,Indiana,225.5
4/10,H,Atlanta,5
4/10,V,Miami,219
4/10,H,Brooklyn,4.5
4/10,V,Detroit,8.5
4/10,H,NewYork,205
4/10,V,Minnesota,218.5
4/10,H,Denver,12.5
4/10,V,Sacramento,226.5
4/10,H,Portland,3
4/10,V,Utah,225
4/10,H,LAClippers,8
4/13,V,Brooklyn,228.5
4/13,H,Philadelphia,8
4/13,V,Orlando,212.5
4/13,H,Toronto,9.5
4/13,V,LAClippers,234
4/13,H,GoldenState,13.5
4/13,V,SanAntonio,210.5
4/13,H,Denver,6
4/14,V,Indiana,210
4/14,H,Boston,8
4/14,V,OklahomaCity,224.5
4/14,H,Portland,3
4/14,V,Detroit,215.5
4/14,H,Milwaukee,15
4/14,V,Utah,212.5
4/14,H,Houston,6.5
4/15,V,Brooklyn,224
4/15,H,Philadelphia,8.5
4/15,V,LAClippers,234
4/15,H,GoldenState,13.5
4/16,V,Orlando,212.5
4/16,H,Toronto,11
4/16,V,SanAntonio,210.5
4/16,H,Denver,7
4/16,V,OklahomaCity,224.5
4/16,H,Portland,1
4/17,V,Indiana,207
4/17,H,Boston,8
4/17,V,Detroit,215.5
4/17,H,Milwaukee,15.5
4/17,V,Utah,216
4/17,H,Houston,6.5
4/18,V,Philadelphia,1
4/18,H,Brooklyn,229.5
4/18,V,Denver,207
4/18,H,SanAntonio,4.5
4/18,V,GoldenState,9
4/18,H,LAClippers,234
4/19,V,Toronto,5.5
4/19,H,Orlando,211
4/19,V,Boston,204
4/19,H,Indiana,2.5
4/19,V,Portland,221
4/19,H,OklahomaCity,7
4/20,V,Philadelphia,3
4/20,H,Brooklyn,231
4/20,V,Denver,209.5
4/20,H,SanAntonio,4
4/20,V,Milwaukee,9
4/20,H,Detroit,216.5
4/20,V,Houston,214.5
4/20,H,Utah,2.5
4/21,V,Boston,3.5
4/21,H,Indiana,204.5
4/21,V,Golden State,9.5
4/21,H,LA Clippers,236
4/21,V,Toronto,5.5
4/21,H,Orlando,206
4/21,V,Portland,222
4/21,H,Oklahoma City,5.5
4/22,V,Milwaukee,12
4/22,H,Detroit,220
4/22,V,Houston,2
4/22,H,Utah,214.5
4/23,V,San Antonio,210.5
4/23,H,Denver,5.5
4/23,V,Oklahoma City,222
4/23,H,Portland,4
4/23,V,Orlando,206
4/23,H,Toronto,11
4/23,V,Brooklyn,229.5
4/23,H,Philadelphia,9.5
4/24,V,LA Clippers,231.5
4/24,H,Golden State,15
4/24,V,Utah,213.5
4/24,H,Houston,8.5
4/25,V,Denver,209
4/25,H,San Antonio,3
4/26,V,Golden State,10.5
4/26,H,LA Clippers,232
4/27,V,San Antonio,207.5
4/27,H,Denver,6
4/27,V,Philadelphia,223.5
4/27,H,Toronto,6
4/28,V,Boston,223
4/28,H,Milwaukee,8
4/28,V,Houston,224
4/28,H,Golden State,6.5
4/29,V,Philadelphia,219.5
4/29,H,Toronto,7.5
4/29,V,Portland,215
4/29,H,Denver,4
4/30,V,Boston,219
4/30,H,Milwaukee,8
4/30,V,Houston,222
4/30,H,Golden State,5.5
5/1,V,Portland,219.5
5/1,H,Denver,4
5/2,V,Toronto,1.5
5/2,H,Philadelphia,216
5/3,V,Milwaukee,220
5/3,H,Boston,2
5/3,V,Denver,215
5/3,H,Portland,5
5/4,V,Golden State,219.5
5/4,H,Houston,3.5
5/5,V,Toronto,215
5/5,H,Philadelphia,2
5/5,V,Denver,211
5/5,H,Portland,3
