Original,Fuzzy,SJR,H index
Mol Cancer Res,Mol Cancer Res,,
Food Chem,Food Chem,,
Nature Biomedical Engineering,Nature Biomedical Engineering,,
Biochim Biophys Acta Mol Cell Biol Lipids,Biochim Biophys Acta Mol Cell Biol Lipids,,
Biosci Biotechnol Biochem,Biosci Biotechnol Biochem,,
Environ Toxicol,Environ Toxicol,,
Pharmacol Biochem Behav,Pharmacol Biochem Behav,,
Ann Thorac Surg,Ann Thorac Surg,,
Neurophamcology,Neurophamcology,,
AJRCCM,AJRCCM,,
Front Oncol,Front Oncol,,
Mol Diagn Ther,Mol Diagn Ther,,
J Inherit Metab Dis,J Inherit Metab Dis,,
Orphanet J Rare Dis,Orphanet J Rare Dis,,
Hum Mutat,Hum Mutat,,
"Sun M, Liu H, Xu H, Wang H, Wang X","Sun M, Liu H, Xu H, Wang H, Wang X",,
Clin J Pain,Clin J Pain,,
J Pineal Res,J Pineal Res,,
Immunopharmacol Immunotoxicol,Immunopharmacol Immunotoxicol,,
Journal of Cancer,Journal of Cancer,,
Bioenergetics,Bioenergetics,,
J Proteome Res,J Proteome Res,,
Cell Transplant,Cell Transplant,,
Free Radic Res,Free Radic Res,,
Glia,Glia,,
Brain Res,Brain Res,,
Cell Reports,Cell Reports,,
Neurol Genet,Neurol Genet,,
Bioconjug Chem,Bioconjug Chem,,
Front Neurol.,Front Neurol.,,
Org Biomol Chem,Org Biomol Chem,,
Angiogenesis,Angiogenesis,,
Stem Cell Reports,Stem Cell Reports,,
Biochem Soc Trans,Biochem Soc Trans,,
Int J Pharm,Int J Pharm,,
Pathog Dis,Pathog Dis,,
J Biomed Opt,J Biomed Opt,,
Environ Sci Technol,Environ Sci Technol,,
Eur Heart J,Eur Heart J,,
Int J Mol Sci,Int J Mol Sci,,
Sci Adv,Sci Adv,,
Arthritis Rheumatol,Arthritis Rheumatol,,
Exp Eye Res,Exp Eye Res,,
Xenotransplantation,Xenotransplantation,,
Toxicology Research,Toxicology Research,,
J Exp Clin Cancer Res,J Exp Clin Cancer Res,,
Analytica Chimica Acta,Analytica Chimica Acta,,
Dalton Trans,Dalton Trans,,
Arch Biochem Biophys,Arch Biochem Biophys,,
J Crit Care,J Crit Care,,
Nutr Cancer,Nutr Cancer,,
Data Brief,Data Brief,,
Biosci Rep,Biosci Rep,,
Cardiovasc Res,Cardiovasc Res,,
Toxicology,Toxicology,,
Ann Clin Trans Neuro,Ann Clin Trans Neuro,,
Endocrinol Metab (Seoul),Endocrinol Metab (Seoul),,
J Am Soc Nephrol,J Am Soc Nephrol,,
Am J Pathol,Am J Pathol,,
Stem Cell Res,Stem Cell Res,,
J Med Chem,J Med Chem,,
European Journal of Medicinal Chemistry,European Journal of Medicinal Chemistry,,
Biotechnol Prog,Biotechnol Prog,,
J Nanomed Nanotechnol,J Nanomed Nanotechnol,,
Mol Pharm,Mol Pharm,,
Ann Biomed Eng,Ann Biomed Eng,,
Dev Cell,Dev Cell,,
Reproduction,Reproduction,,
Breast Cancer Res Treat,Breast Cancer Res Treat,,
Blood Advances,Blood Advances,,
Cancer Biol Ther,Cancer Biol Ther,,
Skelet Muscle,Skelet Muscle,,
American Physiological Society,American Physiological Society,,
Biochimie,Biochimie,,
Eur J Pharmacol,Eur J Pharmacol,,
Acta Ophthalmol,Acta Ophthalmol,,
Thyroid,Thyroid,,
Antioxidants (Basel),Antioxidants (Basel),,
Biomacromolecules,Biomacromolecules,,
J Proteomics,J Proteomics,,
Immunology,Immunology,,
Cell Res,Cell Res,,
Oncology Letters,Oncology Letters,,
PLoS Biol,PLoS Biol,,
Med. Chem. Commun.,Med. Chem. Commun.,,
Chem Sci,Chem Sci,,
ChemMedChem,ChemMedChem,,
PNAS Plus,PNAS Plus,,
Adv Biol Regul,Adv Biol Regul,,
Eur J Immunol,Eur J Immunol,,
J Autoimmun,J Autoimmun,,
Am J Physiol Regul Integr Comp Physiol,Am J Physiol Regul Integr Comp Physiol,,
Journal of Orthopaedic Translation,Journal of Orthopaedic Translation,,
ACS Med Chem Lett,ACS Med Chem Lett,,
Biochem Genet,Biochem Genet,,
Mol Carcinog,Mol Carcinog,,
Gene,Gene,,
Mol Cell Biochem,Mol Cell Biochem,,
Oncogenesis,Oncogenesis,,
Can J Physiol Pharmacol,Can J Physiol Pharmacol,,
Regul Pept,Regul Pept,,
Pulm Circ,Pulm Circ,,
Lab Chip,Lab Chip,,
Cell Metabolism,Cell Metabolism,,
Ann Rheum Dis,Ann Rheum Dis,,
Stem Cell Res Ther,Stem Cell Res Ther,,
Mar Drugs,Mar Drugs,,
J Antimicrob Chemother,J Antimicrob Chemother,,
Perfusion,Perfusion,,
Front Nutr,Front Nutr,,
BMC Neurology,BMC Neurology,,
J Tradit Complement Med,J Tradit Complement Med,,
Journal of Functional Foods,Journal of Functional Foods,,
Transl Med,Transl Med,,
J Orthop Res,J Orthop Res,,
J Ethnopharmacol,J Ethnopharmacol,,
Int J Biol Macromol,Int J Biol Macromol,,
Open Journal of Anesthesiology,Open Journal of Anesthesiology,,
J Nanobiotechnology,J Nanobiotechnology,,
Respir Res,Respir Res,,
Journal of Radiation Protection and Research,Journal of Radiation Protection and Research,,
Acta Biomater,Acta Biomater,,
Cytokine,Cytokine,,
Int J Photoenergy,Int J Photoenergy,,
J Nutr,J Nutr,,
Clin Sci,Clin Sci,,
Curr Biol,Curr Biol,,
CPT Pharmacometrics Syst Pharmacol,CPT Pharmacometrics Syst Pharmacol,,
Circ Cardiovasc Genet,Circ Cardiovasc Genet,,
Front Physiol,Front Physiol,,
Crit Care,Crit Care,,
Am J Respir Cell Mol Biol,Am J Respir Cell Mol Biol,,
Integr Med Res,Integr Med Res,,
Cancer Prev Res (Phila),Cancer Prev Res,,
ERMPH,ERMPH,,
Tissue Eng Part A,Tissue Eng Part A,,
Molecular Therapy - Oncolytics,Molecular Therapy - Oncolytics,,
Sci Immunol,Sci Immunol,,
Cell Tissue Res,Cell Tissue Res,,
Clin Exp Pharmacol Physiol,Clin Exp Pharmacol Physiol,,
Tumour Biol,Tumour Biol,,
Mol Neuropsychiatry,Mol Neuropsychiatry,,
J Child Neurol,J Child Neurol,,
Mol Genet Metab,Mol Genet Metab,,
J Hematol Res,J Hematol Res,,
ACS Infect Dis,ACS Infect Dis,,
Cell Biochem Funct.,Cell Biochem Funct.,,
Int J Clin Exp Pathol,Int J Clin Exp Pathol,,
J Biomed Mater Res A,J Biomed Mater Res A,,
ACS Chem Neurosci,ACS Chem Neurosci,,
RNA,RNA,,
Mol Immunol,Mol Immunol,,
Neuro Oncol,Neuro Oncol,,
Nutr Metab (Lond),Nutr Metab (Lond),,
Ther Deliv,Ther Deliv,,
Chemosphere,Chemosphere,,
Tomography,Tomography,,
Journal of Food and Nutrition Research,Journal of Food and Nutrition Research,,
Cell Syst,Cell Syst,,
J Mol Med,J Mol Med,,
J Leukoc Biol,J Leukoc Biol,,
N Engl J Med,N Engl J Med,,
Anticancer Res,Anticancer Res,,
Physiol Biochem Zool,Physiol Biochem Zool,,
Neurology,Neurology,,
Journal of Molecular and Cellular Cardiology,Journal of Molecular and Cellular Cardiology,,
Immunol Cell Biol,Immunol Cell Biol,,
J Invest Dermatol,J Invest Dermatol,,
Anticancer Drugs,Anti-Cancer Drugs,,
Sci Immun,Sci Immun,,
Obesity (Silver Spring),Obesity (Silver Spring),,
Neuropathol Appl Neurobiol.,Neuropathol Appl Neurobiol.,,
Am Thorac Soc,Am Thorac Soc,,
FEMS Yeast Res,FEMS Yeast Res,,
"Genes, Chromosomes & Cancer",Genes Chromosomes and Cancer,,
Applied Magnetic Resonance,Applied Magnetic Resonance,,
Intensive Care Med,Intensive Care Med,,
Lab Invest,Lab Invest,,
Journal of Ginseng Research,Journal of Ginseng Research,,
Bone,Bone,,
Peptides,Peptides,,
J Neurol Sci,J Neurol Sci,,
J Thromb Haemost,J Thromb Haemost,,
Front Immunol,Front Immunol,,
Cell Death Discovery,Cell Death Discov,,
Front Plant Sci,Front Plant Sci,,
Nephrol Dial Transplant,Nephrol Dial Transplant,,
Nutrients,Nutrients,,
Atherosclerosis,Atherosclerosis,,
Plant Physiol,Plant Physiol,,
Cell Mol Gastroenterol Hepatol,Cell Mol Gastroenterol Hepatol,,
Immunol Lett,Immunol Lett,,
Am J Respir Crit Care Med,Am J Respir Crit Care Med,,
ARXIV,ARXIV,,
J Cachexia Sarcopenia Muscle,J Cachexia Sarcopenia Muscle,,
Cell Host Microbe,Cell Host Microbe,,
J Mol Endocrinol,J Mol Endocrinol,,
Cell Stress Chaperones,Cell Stress Chaperones,,
Gastroenterology,Gastroenterology,,
Am J Physiol Gastrointest Liver Physiol,Am J Physiol Gastrointest Liver Physiol,,
Comp Biochem Physiol Part D Genomics Proteomics,Comp Biochem Physiol Part D Genomics Proteomics,,
Int J Radiat Oncol Biol Phys,Int J Radiat Oncol Biol Phys,,
Neuroscience Letters,Neuroscience Letters,,
Leukemia,Leukemia,,
Regeneration,Regeneration,,
J Inflamm (Lond),J Inflamm (Lond),,
Mol Aspects Med,Mol Aspects Med,,
Int J Pediatr Otorhinolaryngol,Int J Pediatr Otorhinolaryngol,,
Aquat Toxicol,Aquat Toxicol,,
AIDS Res Hum Retroviruses,AIDS Res Hum Retroviruses,,
Retrovirology,Retrovirology,,
Pharmacology,Pharmacology,,
Cancer Prev Res,Cancer Prev Res,,
J Biomol Screen,J Biomol Screen,,
Physiol Rev,Physiol Rev,,
Curr Opin Genet Dev,Curr Opin Genet Dev,,
Stem Cell Genetics for Biomedical Research,Stem Cell Genetics for Biomedical Research,,
Dev Biol,Dev Biol,,
IUBMB Life,IUBMB Life,,
J Physiol Sci,J Physiol Sci,,
Vascul Pharmacol,Vascul Pharmacol,,
Aging and Disease,Aging and Disease,,
ARD,ARD,,
Environ Microbiol,Environ Microbiol,,
BioMed Res Int,BioMed Res Int,,
Biochemistry,Biochemistry,,
Bioorg Med Chem Lett,Bioorg Med Chem Lett,,
Bioorg Med Chem,Bioorg Med Chem,,
Cell Calcium,Cell Calcium,,
Human Molecular Genetics,Human Molecular Genetics,,
Stem Cells International,Stem Cells International,,
Stem Cells Int,Stem Cells Int,,
Cell Mol Immunol,Cell Mol Immunol,,
Pigment Cell Melanoma Res,Pigment Cell Melanoma Res,,
J Toxicol Environ Health A,J Toxicol Environ Health A,,
Inorg Chem,Inorg Chem,,
Physiol Genomics,Physiol Genomics,,
Cell Commun Signal,Cell Commun Signal,,
Clin Sci (Lond),Clin Sci (Lond),,
AJRCMB,AJRCMB,,
Inside the Cell,Inside the Cell,,
Methods in Pharmacology and Toxicology,Methods in Pharmacology and Toxicology,,
Environ Health Perspect,Environ Health Perspect,,
Food & Function,Food & Function,,
Drug Discovery and Evaluation: Safety and Pharmacokinetic Assays,Drug Discovery and Evaluation: Safety and Pharmacokinetic Assays,,
Zebrafish,Zebrafish,,
Am J Cardiovasc Dis,Am J Cardiovasc Dis,,
Aging and Mechanisms of Disease,Aging and Mechanisms of Disease,,
J Toxicol,J Toxicol,,
Metab Eng,Metab Eng,,
Cellular and Molecular Bioengineering,Cellular and Molecular Bioengineering,,
Yeast,Yeast,,
Biophys J,Biophys J,,
Adv Funct Mater,Adv Funct Mater,,
Cancer Immunol Res,Cancer Immunol Res,,
Dis Model Mech,Dis Model Mech,,
Cancer Chemother Pharmacol,Cancer Chemother Pharmacol,,
NMR Biomed,NMR Biomed,,
PULMONARY ARTERIAL HYPERTENSION,PULMONARY ARTERIAL HYPERTENSION,,
Medchemcomm,MedChemComm,,
Inflammation,Inflammation,,
iScience,iScience,,
Pharm Res,Pharm Res,,
Neurosci Lett,Neurosci Lett,,
Analytical Methods,Analytical Methods,,
Microcirculation,Microcirculation,,
Biol Chem,Biol Chem,,
Cellular and Molecular Gastroenterology and Hepatology,Cellular and Molecular Gastroenterology and Hepatology,,
Biochemical Engineering Journal,Biochemical Engineering Journal,,
Transpl Int,Transpl Int,,
Radiother Oncol,Radiother Oncol,,
Am J Transl Res,Am J Transl Res,,
Leuk Lymphoma,Leuk Lymphoma,,
Ecotoxicol Environ Saf,Ecotoxicol Environ Saf,,
EFSA Journal,EFSA Journal,,
J Physiol Biochem,J Physiol Biochem,,
Eur J Heart Fail,Eur J Heart Fail,,
J Vis Exp,J Vis Exp,,
J Exped Med,J Exped Med,,
Sci Signaling,Sci Signaling,,
Genes Cells,Genes Cells,,
Cancer research,Cancer Research,,
Kidney Int,Kidney Int,,
PPAR Res,PPAR Res,,
J Tissue Eng Regen Med,J Tissue Eng Regen Med,,
Frontiers in Bioscience,Frontiers in Bioscience,,
Fitoterapia,Fitoterapia,,
Nutr Diabetes,Nutr Diabetes,,
Biochim Biophys Acta Gen Subj,Biochim Biophys Acta Gen Subj,,
Med Inflamm,Med Inflamm,,
Parkinsonism Relat Disord,Parkinsonism Relat Disord,,
Mol Endocrinol,Mol Endocrinol,,
Ann Clin Transl Neurol,Ann Clin Trans Neuro,,
Proteomics - Clinical Applications,Proteomics - Clinical Applications,,
Hum Mol Gen,Hum Mol Gen,,
Mol Neurodegener,Mol Neurodegener,,
Int J Obes,Int J Obes,,
J Diabetes Investig,J Diabetes Investig,,
ImmunoHorizons,ImmunoHorizons,,
Nat Struct Mol Biol,Nat Struct Mol Biol,,
Leuk Res,Leuk Res,,
The Journal of Immunology,The Journal of Immunology,,
Cell Oncol (Dordr),Cell Oncol (Dordr),,
Biogerontology,Biogerontology,,
Nutr Metab Cardiovasc Dis,Nutr Metab Cardiovasc Dis,,
Mol Oncol,Mol Oncol,,
Mucosal Immunol,Mucosal Immunol,,
J Intensive Care Med,Intensive Care Med,,
Protocol Exchange,Protocol Exchange,,
Curr Protoc Immunol,Curr Protoc Immunol,,
Neoplasia,Neoplasia,,
Int J Neuropsychopharmacol,Int J Neuropsychopharmacol,,
Oxford University Press,Oxford University Press,,
Microvasc Res,Microvasc Res,,
Biochim Biophys Acta Bioenerg,Biochim Biophys Acta Bioenerg,,
Neuro-Oncology,Neuro-Oncology,,
Lung,Lung,,
Horm Metab Res,Horm Metab Res,,
Eur J Nutr,Eur J Nutr,,
Eur Urol,Eur Urol,,
Biotechnology and Bioengineering,Biotechnology and Bioengineering,,
Bull Korean Chem Soc,Bull Korean Chem Soc,,
NPJ Breast Cancer,NPJ Breast Cancer,,
Biol Pharm Bull,Biol Pharm Bull,,
Phytomedicine,Phytomedicine,,
The Laryngoscope,The Laryngoscope,,
Neurotox Res,Neurotox Res,,
Molecular Vision,Molecular Vision,,
