name,volume,caffeine,density,type
Starbucks Verismo Coffee Pods,8,60,7.5,coffee
Starbucks Via Ready Brew,8,135,16.9,coffee
Steaz Organic Energy Drink,12,100,8.3,energy
Stewie's Mind Erase Elixir,8.4,50,6,energy
Stok Black Coffee Shots,0.44,40,90.9,shot
Street King Energy Shot,2.5,280,112,shot
Sun Drop,12,63,5.2,soda
Sunkist Orange Soda,12,41,3.4,soda
Sunkist Solar Fusion,12,49,4.1,soda
Sunkist Sparkling Lemonade,12,41,3.4,soda
Sunkist Ten,20,68,3.4,soda
SunnyD X Energy Drink,16,0,0,energy
Surge Energy Shot,2.5,140,56,shot
Swing Juice Energy Drink,16,50,3.1,energy
Swiss Miss Mocha Cappuccino,8,25,3.1,coffee
Swiss Miss Pick-Me-Up,8,65,8.1,
T-Virus Antidote,8.45,120,14.2,energy
TaB,12,47,3.9,soda
Taiwanese Milk Tea,13.526,130,9.6,tea
Talon Energy Drink,16,174,10.9,energy
TAPOUT Energy Drink,16,200,12.5,energy
Tazo Chai,8,47,5.9,tea
Tea (Black),8,42,5.2,tea
Tea (Decaf),8,5,0.6,tea
Tea (Green),8,25,3.1,tea
Tea (Herbal),8,0,0,tea
Tea (Iced),8,47,5.9,tea
Tea (Instant),8,26,3.2,tea
Tea (Jasmine),8,25,3.1,tea
Tea (Oolong),8,37,4.6,tea
Tea (White),8,28,3.5,tea
Teas' Tea Oolong,16.9,55,3.3,tea
TEHO Energy Drink,16.9,160,9.5,energy
Tejava Iced Tea,12,50,4.2,tea
Tiger Energy Drink,8.46,80,9.5,energy
Tim Hortons Large Brewed Coffee,20,200,10,coffee
Tim Hortons Small English Toffee Coffee,10,60,6,coffee
Tim Hortons Small French Vanilla Coffee,10,60,6,coffee
TK Diet Cola,12,38,3.2,soda
Tonic Water,11.9,0,0,
Tonix Energy Soda,12,53,4.4,
Topplez Cafe 125,8,125,15.6,coffee
Trader Joe's Energy Drink,16,150,9.4,energy
Trim Water,20,50,2.5,energy
TroopFuel Energy Drink,12,50,4.2,energy
Tropicana Twister Soda,20,0,0,soda
Tru Blood Energy Drink,14,50,3.6,energy
Turkey Hill Iced Tea,16.2,110,6.8,tea
Twig Tea (Kukicha),8,25,3.1,tea
Ubermonster Energy Brew,16.91,160,9.5,energy
UPTIME Energy Drink,8.46,100,11.8,energy
USANA Rev3 Energy Drink,12,120,10,energy
V Energy Drink,8.46,78,9.2,energy
V Pocket Rocket Energy Shot,2.03,200,98.5,shot
V8 Fusion Energy Drink,8,80,10,energy
Vamp Energy Drink,16,240,15,energy
Vanilla Coke,12,34,2.8,soda
Vegas Fuel Energy Drink,8.4,75,8.9,energy
Venom Black Mamba,16,160,10,energy
Venom Death Adder,16,160,10,energy
Venom Mojave Rattler,16,160,10,energy
Vernors Ginger Ale,12,0,0,soda
Verve! Energy Drink,8.3,80,9.6,energy
Vidration Enhanced Water,20,125,6.2,energy
Viso Energy Drink,20,300,15,energy
Vita Coco Cafe,11.1,120,10.8,coffee
Vital 4U Liquid Energy,0.5072,155,305.6,energy
