School_Name,School_year,Reported,K_12_enrollment,Percent_complete_for_all_immunizations,Percent_with_any_exemption,Percent_with_medical_exemption,Percent_with_personal_exemption,Percent_with_religious_exemption,Percent_with_religious_membership_exemption,Percent_exempt_for_diphtheria_tetanus,Percent_exempt_for_pertussis,Percent_exempt_for_measles_mumps_rubella,Percent_exempt_for_polio,Percent_exempt_for_HepatitisB,Percent_exempt_for_varicella,Number_complete_for_all_immunizations,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,Number_exempt_for_diphtheria_tetanus,Number_exempt_for_pertussis,Number_exempt_for_measles_mumps_rubella,Number_exempt_for_polio,Number_exempt_for_HepatitisB,Number_exempt_for_varicella,School_District,County,ESD,Grade_Levels,Has_kindergarten,Has_6thGrade,Location 1
HENRY M. JACKSON HIGH SCHOOL,2016-17,Y,2193,83.5,3,0.2,2.6,0.1,0,1.8,2.1,1.9,1.7,1.7,2,1832,66,4,58,3,1,39,46,41,37,38,43,EVERETT SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,12-Sep,N,N,"1508 136TH ST. SE
EVERETT"
HIGHLAND ELEMENTARY,2016-17,N,,,,,,,,,,,,,,,,,,,,,,,,,,CLARKSTON SCHOOL DISTRICT,ASOTIN,EDUCATIONAL SERVICE DISTRICT 123,K -6,Y,Y,"1432 HIGHLAND ST
CLARKSTON"
HIGHLAND HIGH SCHOOL,2016-17,Y,348,69.3,2.3,0.9,1.4,0,0,0.9,0.9,1.1,0.9,0.9,2,241,8,3,5,0,0,3,3,4,3,3,7,HIGHLAND SCHOOL DISTRICT,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,12-Oct,N,N,"PO BOX 38
COWICHE"
HIGHLAND JUNIOR HIGH SCHOOL,2016-17,Y,182,89.6,1.1,0.5,0.5,0,0,0,0,0,0,0,1.1,163,2,1,1,0,0,0,0,0,0,0,2,HIGHLAND SCHOOL DISTRICT,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,9-Jul,N,N,"PO BOX 38
COWICHE"
HIGHLANDS HIGH SCHOOL (OMAK ALTERNATIVE HIGH SCHOOL),2016-17,Y,19,78.9,10.5,0,10.5,0,0,10.5,0,0,0,0,0,15,2,0,2,0,0,2,0,0,0,0,0,OMAK SCHOOL DISTRICT,OKANOGAN,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,12-Sep,N,N,"P O BOX 833
OMAK"
HILLCREST ELEMENTARY SCHOOL,2016-17,Y,802,92.3,3.7,0.9,2.7,0.1,0,2.7,2.7,3.2,3.2,2.9,3.4,740,30,7,22,1,0,22,22,26,26,23,27,LAKE STEVENS SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,PK-5,Y,N,"9315 4TH STREET SE
EVERETT"
HILLTOP SCHOOL,2016-17,Y,310,93.2,4.8,0.3,4.5,0,0,1.6,1.6,1.9,2.3,1.3,3.9,289,15,1,14,0,0,5,5,6,7,4,12,OCEAN BEACH SCHOOL DISTRICT,PACIFIC,EDUCATIONAL SERVICE DISTRICT 112,8-May,N,Y,"PO BOX F
ILWACO"
HOLDEN VILLAGE COMMUNITY SCHOOL,2016-17,Y,7,57.1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,LAKE CHELAN SCHOOL DISTRICT,CHELAN,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,K -12,Y,Y,"HCOO STOP 2
CHELAN"
HORIZON MIDDLE SCHOOL,2016-17,Y,456,89.7,7.5,0.7,6.8,0.2,0,3.7,3.5,3.5,3.7,3.1,5.7,409,34,3,31,1,0,17,16,16,17,14,26,FERNDALE SCHOOL DISTRICT,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,8-Jul,N,N,"P.O. BOX 1769
FERNDALE"
HULAN L WHITSON ELEM,2016-17,Y,387,80.9,9.3,2.8,5.4,0.8,0.3,5.7,5.7,5.4,7.2,7,6.7,313,36,11,21,3,1,22,22,21,28,27,26,WHITE SALMON VALLEY SCHOOL DISTRICT,KLICKITAT,EDUCATIONAL SERVICE DISTRICT 112,K -4,Y,N,"PO BOX 1279
WHITE SALMON"
INCHELIUM ELEMENTARY SCHOOL,2016-17,Y,323,60.7,2.8,0,2.5,0.3,0,2.5,2.5,2.5,2.5,2.5,2.8,196,9,0,8,1,0,8,8,8,8,8,9,INCHELIUM SCHOOL DISTRICT,FERRY,EDUCATIONAL SERVICE DISTRICT 101,K -5,Y,N,"1 HORNET AVENUE
INCHELIUM"
INCHELIUM HIGH SCHOOL,2016-17,Y,422,96.7,0.2,0,0.2,0,0,0.2,0.2,0.2,0,0.2,0.2,408,1,0,1,0,0,1,1,1,0,1,1,INCHELIUM SCHOOL DISTRICT,FERRY,EDUCATIONAL SERVICE DISTRICT 101,12-Sep,N,N,"1 HORNET AVENUE
INCHELIUM"
INCHELIUM MIDDLE SCHOOL,2016-17,Y,143,74.8,0.7,0,0.7,0,0,0.7,0.7,0.7,0.7,0.7,0.7,107,1,0,1,0,0,1,1,1,1,1,1,INCHELIUM SCHOOL DISTRICT,FERRY,EDUCATIONAL SERVICE DISTRICT 101,8-Jun,N,Y,"1 HORNET AVENUE
INCHELIUM"
INTERAGENCY PROGRAMS,2016-17,Y,415,54.2,6.5,5.1,2.4,0.2,0,1.4,1.4,1.4,1.4,1.2,6.5,225,27,21,10,1,0,6,6,6,6,5,27,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,12-Jun,N,Y,"PO BOX 34165
SEATTLE"
I-TRACC,2016-17,Y,100,79,5,1,4,0,0,4,3,3,3,3,4,79,5,1,4,0,0,4,3,3,3,3,4,CENTRAL VALLEY SCHOOL DISTRICT,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,12-Sep,N,N,"13313 E BARKER
SPOKANE VALLEY"
JOYFUL SCHOLARS MONTESSORI ELEMENTARY SCHOOL,2016-17,Y,50,90,6,0,6,0,0,4,4,4,4,4,6,45,3,0,3,0,0,2,2,2,2,2,3,WENATCHEE SCHOOL DISTRICT,CHELAN,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,K-8,Y,Y,"12 N CHELAN ST (MAIL: 1416 S HILLS DR WENATCHEE WA 98801-3218)
WENATCHEE"
