School_Name,School_year,Reported,K_12_enrollment,Percent_complete_for_all_immunizations,Percent_with_any_exemption,Percent_with_medical_exemption,Percent_with_personal_exemption,Percent_with_religious_exemption,Percent_with_religious_membership_exemption,Percent_exempt_for_diphtheria_tetanus,Percent_exempt_for_pertussis,Percent_exempt_for_measles_mumps_rubella,Percent_exempt_for_polio,Percent_exempt_for_HepatitisB,Percent_exempt_for_varicella,Number_complete_for_all_immunizations,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,Number_exempt_for_diphtheria_tetanus,Number_exempt_for_pertussis,Number_exempt_for_measles_mumps_rubella,Number_exempt_for_polio,Number_exempt_for_HepatitisB,Number_exempt_for_varicella,School_District,County,ESD,Grade_Levels,Has_kindergarten,Has_6thGrade,Location 1
CUSTER ELEM,2016-17,Y,333,85.9,11.7,0.9,10.5,0.3,0,8.7,8.7,8.4,9.9,9,10.5,286,39,3,35,1,0,29,29,28,33,30,35,FERNDALE SCHOOL DISTRICT,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -6,Y,Y,"7660 CUSTER SCHOOL ROAD
CUSTER
(48.919491, -122.638381)"
ALDERWOOD MIDDLE SCHOOL,2016-17,Y,766,92.7,6.4,1.4,4.6,0.4,0,2.6,1.8,3,3,3,5,710,49,11,35,3,0,20,14,23,23,23,38,EDMONDS SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,8-Jul,N,N,"20000 28TH AVE W
LYNNWOOD
(47.816625, -122.270988)"
HIGHLAND CHRISTIAN SCHOOLS,2016-17,Y,81,86.4,13.6,13.6,0,0,0,13.6,13.6,13.6,13.6,13.6,13.6,70,11,11,0,0,0,11,11,11,11,11,11,ARLINGTON SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K-12,Y,Y,"135 S FRENCH
ARLINGTON
(48.190867, -122.122743)"
AUBURN RIVERSIDE HIGH SCHOOL,2016-17,Y,1647,89.3,3,0.8,1.9,0.2,0.1,1.8,1.3,1,1.2,1.2,2.2,1470,50,13,32,4,2,29,22,17,19,20,36,AUBURN SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,12-Sep,N,N,"501 ORAVETZ RD SE
AUBURN
(47.270317, -122.218845)"
FELIDA ELEMENTARY SCHOOL,2016-17,Y,693,93.1,6.3,1,5.2,0.1,0,4.3,4.3,5.2,4.6,4.6,5.1,645,44,7,36,1,0,30,30,36,32,32,35,VANCOUVER SCHOOL DISTRICT,CLARK,EDUCATIONAL SERVICE DISTRICT 112,K -5,Y,N,"2700 NW 119TH ST
VANCOUVER
(45.707244, -122.700466)"
GRANITE FALLS HIGH SCHOOL,2016-17,Y,573,87.3,6.5,1.4,4.5,0.5,0.2,3.5,3,3.3,2.3,2.8,4.7,500,37,8,26,3,1,20,17,19,13,16,27,GRANITE FALLS SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,12-Sep,N,N,"1401 100TH ST NE
GRANITE FALLS
(48.086628, -121.988178)"
DARTMOOR SCHOOL--ISSAQUAH,2016-17,Y,6,100,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,ISSAQUAH SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,12-Jan,N,Y,"22500 SE 64TH PL #130
ISSAQUAH
(47.544107, -122.0399)"
FORKS INTERMEDIATE SCHOOL,2016-17,Y,244,70.1,2,0.4,1.6,0,0,0.4,0.4,0.4,0.4,0.8,1.6,171,5,1,4,0,0,1,1,1,1,2,4,QUILLAYUTE VALLEY SCHOOL DISTRICT,CLALLAM,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,8-Jun,N,Y,"121 SOUTH SPARTAN AVE
FORKS
(47.949, -124.384234)"
CHRIST THE KING SCHOOL,2016-17,Y,391,97.4,2.6,0.3,2,0.3,0,2,2,2,2,2,2.6,381,10,1,8,1,0,8,8,8,8,8,10,RICHLAND SCHOOL DISTRICT,BENTON,EDUCATIONAL SERVICE DISTRICT 123,P-8,Y,Y,"1122 LONG AVE
RICHLAND
(46.28365, -119.285317)"
HARMONY ELEMENTARY,2016-17,Y,349,81.4,11.7,1.4,9.7,0.6,0,8,8.6,9.5,10.3,9.5,10,284,41,5,34,2,0,28,30,33,36,33,35,MOUNT BAKER SCHOOL DISTRICT,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -6,Y,Y,"5060 SAND ROAD
BELLINGHAM
(48.824402, -122.332571)"
DAVIS HIGH SCHOOL,2016-17,Y,2271,95.6,2.1,1.1,0.9,0.1,0,0.7,0.6,0.9,0.6,0.6,1.5,2172,47,24,20,3,1,16,14,20,14,13,33,YAKIMA SCHOOL DISTRICT,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,12-Sep,N,N,"212 S 6TH AVE
YAKIMA
(46.596776, -120.51568)"
BK PLAY ACADEMY FOR GIFTED CHILDREN,2016-17,Y,2,100,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,BELLEVUE SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-3,Y,N,"6236 122ND AVE SE
BELLEVUE
(47.546545, -122.176943)"
GLOVER MIDDLE SCHOOL,2016-17,Y,503,92,7.4,2,4.8,0.2,0.4,4.6,4.6,3.2,3,3,5.6,463,37,10,24,1,2,23,23,16,15,15,28,SPOKANE SCHOOL DISTRICT,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,8-Jul,N,N,"2404 W LONGFELLOW AVE
SPOKANE
(47.697199, -117.446022)"
CASTLE ROCK ELEMENTARY,2016-17,Y,600,93.2,5.8,1,4.7,0.5,0,4.5,4.7,4.2,4.3,3.7,5.2,559,35,6,28,3,0,27,28,25,26,22,31,CASTLE ROCK SCHOOL DISTRICT,COWLITZ,EDUCATIONAL SERVICE DISTRICT 112,PK-6,Y,Y,"700 HUNTINGTON AVE S
CASTLE ROCK
(46.270187, -122.906219)"
CANYON CREEK MIDDLE SCHOOL,2016-17,Y,238,88.7,6.3,0.8,5,0,0.4,2.5,2.1,2.5,2.5,3.4,4.2,211,15,2,12,0,1,6,5,6,6,8,10,WASHOUGAL SCHOOL DISTRICT,CLARK,EDUCATIONAL SERVICE DISTRICT 112,8-Jun,N,Y,"9731 WASHOUGAL RIVER RD
WASHOUGAL
(45.609445, -122.233982)"
CLE ELUM ROSLYN HIGH SCHOOL,2016-17,Y,273,95.2,2.9,1.1,1.5,0.4,0,2.2,1.5,1.5,1.8,2.2,0.7,260,8,3,4,1,0,6,4,4,5,6,2,CLE ELUM-ROSLYN SCHOOL DISTRICT,KITTITAS,EDUCATIONAL SERVICE DISTRICT 105,12-Sep,N,N,"2692 SR 903
CLE ELUM
(47.210805, -120.984046)"
AHTANUM VALLEY ELEMENTARY,2016-17,Y,271,94.1,1.1,0.7,0,0,0.4,0.4,0.4,0.4,0.4,0.7,0.7,255,3,2,0,0,1,1,1,1,1,2,2,WEST VALLEY SCHOOL DISTRICT (YAKIMA),YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,K -4,Y,N,"3006 S WILEY RD
YAKIMA
(46.548949, -120.64978)"
BAKER MIDDLE SCHOOL,2016-17,Y,725,96.3,2.2,0.3,1.4,0.6,0,1.4,1.8,1.2,1.2,1.2,1.5,698,16,2,10,4,0,10,13,9,9,9,11,TACOMA SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,8-Jun,N,Y,"8320 S I ST
TACOMA
(47.181657, -122.445287)"
EVALINE ELEMENTARY SCHOOL,2016-17,Y,51,94.1,3.9,0,2,2,0,3.9,3.9,3.9,3.9,3.9,3.9,48,2,0,1,1,0,2,2,2,2,2,2,EVALINE SCHOOL DISTRICT,LEWIS,EDUCATIONAL SERVICE DISTRICT 113,K -6,Y,Y,"111 SCHOOLHOUSE ROAD
WINLOCK
(46.539825, -122.939209)"
CHRYSALIS SCHOOL (K-8),2016-17,Y,57,71.9,8.8,3.5,5.3,0,0,7,7,8.8,7,8.8,7,41,5,2,3,0,0,4,4,5,4,5,4,NORTHSHORE SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K-8,Y,Y,"17005 140TH AVE NE
WOODINVILLE
(47.751067, -122.152662)"
GREENACRES ELEMENTARY,2016-17,Y,634,88.5,9.3,1.1,7.9,0.5,0,6.3,6.3,6.9,6.8,6,8.4,561,59,7,50,3,0,40,40,44,43,38,53,CENTRAL VALLEY SCHOOL DISTRICT,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,5-Jan,N,N,"17915 E 4TH AVENUE
SPOKANE VALLEY
(47.653271, -117.162648)"
BRIDGEPORT AURORA HIGH SCHOOL,2016-17,Y,16,68.8,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,BRIDGEPORT SCHOOL DISTRICT,DOUGLAS,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,12-Sep,N,N,"1400 TACOMA AVE
BRIDGEPORT
(48.006278, -119.674697)"
CHINOOK MIDDLE SCHOOL,2016-17,Y,764,89.1,5.1,0.9,3.9,0.1,0.1,2.7,2.4,2,2,3,3.1,681,39,7,30,1,1,21,18,15,15,23,24,NORTH THURSTON PUBLIC SCHOOLS,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,8-Jul,N,N,"4301 6TH AVE NE
LACEY
(47.054105, -122.827374)"
CAM ACADEMY,2016-17,Y,556,79.7,16.2,1.1,14.4,1.3,0,12.4,11.7,10.3,10.3,9.7,11.9,443,90,6,80,7,0,69,65,57,57,54,66,BATTLE GROUND SCHOOL DISTRICT,CLARK,EDUCATIONAL SERVICE DISTRICT 112,12-Mar,N,Y,"715 NW ONSDORFF BLVD
BATTLE GROUND
(45.791669, -122.54581)"
GOLDENDALE PRIMARY SCHOOL,2016-17,Y,331,90.3,9.1,3.3,2.4,2.7,0.9,6.6,6.6,6.3,6.3,4.8,7.9,299,30,11,8,9,3,22,22,21,21,16,26,GOLDENDALE SCHOOL DISTRICT,KLICKITAT,EDUCATIONAL SERVICE DISTRICT 105,K -4,Y,N,"820 S. SCHUSTER ST
GOLDENDALE
(45.816784, -120.817531)"
BALLARD HIGH SCHOOL,2016-17,Y,1856,62.6,14.8,11.2,6.8,0.2,0,3.7,3.4,3.7,2.9,5.8,13.7,1162,275,207,127,3,0,68,64,68,53,108,255,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,12-Sep,N,N,"1418 NW 65 ST
SEATTLE
(47.675999, -122.374525)"
BESS HERIAN ELEMENTARY,2016-17,Y,100,81,17,7,9,1,0,9,9,9,9,12,14,81,17,7,9,1,0,9,9,9,9,12,14,CUSICK SCHOOL DISTRICT,PEND OREILLE,EDUCATIONAL SERVICE DISTRICT 101,K -6,Y,Y,"305 MONUMENTAL WAY
CUSICK
(48.337571, -117.298707)"
CORNERSTONE CHRISTIAN SCHOOL,2016-17,Y,285,89.1,10.9,0,10.2,0.7,0,10.9,10.9,10.9,10.9,10.9,10.9,254,31,0,29,2,0,31,31,31,31,31,31,EVERGREEN SCHOOL DISTRICT (CLARK),CLARK,EDUCATIONAL SERVICE DISTRICT 112,K-8,Y,Y,"7708 NE 78TH ST
VANCOUVER
(45.67889, -122.594304)"
CEDAR WAY ELEMENTARY,2016-17,Y,483,91.3,5.6,1.9,3.5,0.2,0,4.6,4.3,3.9,4.1,3.5,3.9,441,27,9,17,1,0,22,21,19,20,17,19,EDMONDS SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -6,Y,Y,"22222 39TH AVE W
MOUNTLAKE TERRACE
(47.79641, -122.286232)"
CENTENNIAL ELEMENTARY,2016-17,Y,489,94.3,3.5,2,0.8,0.4,0.2,2.2,2.2,2.7,2.2,1.4,2.9,461,17,10,4,2,1,11,11,13,11,7,14,BETHEL SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,Y,Y,"24323 54TH AVE E
GRAHAM
(47.033192, -122.35775)"
CONCORD INTERNATIONAL SCHOOL,2016-17,Y,363,89.8,1.9,1.1,1.1,0,0,0.8,0.8,0.8,0.8,1.1,1.1,326,7,4,4,0,0,3,3,3,3,4,4,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N,"723 S CONCORD ST
SEATTLE
(47.523918, -122.3243)"
FINN HILL JUNIOR HIGH SCHOOL,2016-17,Y,631,89.4,7.1,1.4,5.4,0.6,0.3,4,3.6,4.4,3.6,3.6,5.2,564,45,9,34,4,2,25,23,28,23,23,33,LAKE WASHINGTON SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,8-Jun,N,Y,"8040 NE 132ND ST
KIRKLAND
(47.718842, -122.233243)"
FUTURES SCHOOL,2016-17,Y,47,70.2,12.8,2.1,6.4,4.3,0,6.4,6.4,6.4,4.3,4.3,10.6,33,6,1,3,2,0,3,3,3,2,2,5,LAKE WASHINGTON SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,12-Sep,N,N,"10601 NE 132ND
KIRKLAND
(47.719041, -122.19795)"
BONNEY LAKE ELEMENTARY,2016-17,Y,536,93.1,3.2,1.1,1.9,0.4,0,1.9,1.9,1.9,1.9,2.2,2.8,499,17,6,10,2,0,10,10,10,10,12,15,SUMNER SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N,"18715 80TH ST E
BONNEY LAKE
(47.185417, -122.178642)"
CASCADE VIEW ELEMENTARY,2016-17,Y,418,92.8,5.7,1.7,4.3,0,0,2.9,2.9,3.1,3.6,3.1,5,388,24,7,18,0,0,12,12,13,15,13,21,SNOHOMISH SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -6,Y,Y,"2401 PARK AVENUE
SNOHOMISH
(47.941293, -122.087756)"
HIAWATHA ELEMENTARY SCHOOL,2016-17,Y,557,96.8,1.4,0.5,1.1,0,0,1.1,1.1,1.1,0.9,0.7,1.3,539,8,3,6,0,0,6,6,6,5,4,7,OTHELLO SCHOOL DISTRICT,ADAMS,EDUCATIONAL SERVICE DISTRICT 123,K -5,Y,N,"506 N 7TH AVE
OTHELLO
(46.831523, -119.164887)"
CARDEN COUNTRY SCHOOL,2016-17,Y,43,97.7,2.3,0,2.3,0,0,2.3,2.3,2.3,2.3,2.3,2.3,42,1,0,1,0,0,1,1,1,1,1,1,BAINBRIDGE ISLAND SCHOOL DISTRICT,KITSAP,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K-12,Y,Y,"6974 ISLAND CENTER RD NE
BAINBRIDGE ISLAND
(47.62541, -122.558434)"
GARFIELD ELEMENTARY,2016-17,Y,464,90.3,7.8,2.2,4.1,0.9,0.9,4.7,4.7,5.2,5.4,6.3,6.3,419,36,10,19,4,4,22,22,24,25,29,29,SPOKANE SCHOOL DISTRICT,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,PK-6,Y,Y,"222 W KNOX AVE
SPOKANE
(47.676725, -117.414652)"
AUDUBON ELEMENTARY,2016-17,Y,603,87.9,3.2,0.5,2.7,0,0,2,2.2,2.3,1.8,2.2,2.3,530,19,3,16,0,0,12,13,14,11,13,14,LAKE WASHINGTON SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N,"3045 180TH NE
REDMOND
(47.637487, -122.100306)"
BRIDGEPORT MIDDLE SCHOOL,2016-17,Y,243,78.2,3.3,3.3,0,0,0,0,0,0.8,0,1.6,0.8,190,8,8,0,0,0,0,0,2,0,4,2,BRIDGEPORT SCHOOL DISTRICT,DOUGLAS,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,8-Jun,N,Y,"1300 DOUGLAS
BRIDGEPORT
(48.007486, -119.674624)"
ADAMS ELEMENTARY,2016-17,Y,515,92.8,6,0.2,4.9,0.8,0.2,5.4,5.4,5.8,5.4,4.7,5.8,478,31,1,25,4,1,28,28,30,28,24,30,CENTRAL VALLEY SCHOOL DISTRICT,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,PK-5,Y,N,"14707 E 8TH AVENUE
SPOKANE VALLEY
(47.649744, -117.20608)"
ALDERWOOD ELEMENTARY SCHOOL,2016-17,Y,232,85.3,6.5,2.2,4.3,0,0,5.6,5.2,6,5.6,5.2,6,198,15,5,10,0,0,13,12,14,13,12,14,BELLINGHAM SCHOOL DISTRICT,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,PK-5,Y,N,"3400 HOLLYWOOD AVE
BELLINGHAM
(48.778148, -122.527646)"
GRACE ACADEMY,2016-17,Y,288,89.6,10.4,0,10.4,0,0,6.6,6.6,8.3,6.6,4.9,8.3,258,30,0,30,0,0,19,19,24,19,14,24,MARYSVILLE SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,P-12,Y,Y,"8521 67TH AVE NE
MARYSVILLE
(48.072708, -122.140133)"
EMERALD CITY SCHOOL,2016-17,Y,14,85.7,14.3,7.1,7.1,0,0,7.1,14.3,7.1,7.1,7.1,7.1,12,2,1,1,0,0,1,2,1,1,1,1,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,6-Jan,N,Y,"520 DENNY WAY
SEATTLE
(47.618562, -122.346864)"
BEACH ELEM,2016-17,Y,31,61.3,35.5,6.5,29,0,0,29,29,32.3,32.3,32.3,32.3,19,11,2,9,0,0,9,9,10,10,10,10,FERNDALE SCHOOL DISTRICT,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -6,Y,Y,"3786 CENTERVIEW ROAD
LUMMI ISLAND
(48.725022, -122.68812)"
EMERALD HEIGHTS ELEMENTARY,2016-17,Y,455,96.5,2.9,1.5,1.1,0.2,0,1.1,1.1,2,2,2.2,1.8,439,13,7,5,1,0,5,5,9,9,10,8,CENTRAL KITSAP SCHOOL DISTRICT,KITSAP,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,PK-6,Y,Y,"1260 PINNACLE COURT
SILVERDALE
(47.674959, -122.665972)"
CHARLES WRIGHT ACADEMY,2016-17,Y,644,89.6,4.5,0,4.2,0.3,0,3.1,2.8,3.1,3.6,3.7,3.6,577,29,0,27,2,0,20,18,20,23,24,23,UNIVERSITY PLACE SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-12,Y,Y,"7723 CHAMBERS CREEK RD W
UNIVERSITY PLACE
(47.200289, -122.540463)"
GARRY MIDDLE SCHOOL,2016-17,Y,587,91,7.8,2.7,4.8,0.2,0.3,4.8,4.8,3.1,2.7,1.9,5.5,534,46,16,28,1,2,28,28,18,16,11,32,SPOKANE SCHOOL DISTRICT,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,8-Jul,N,N,"725 E JOSEPH AVE
SPOKANE
(47.709675, -117.398734)"
IDLEWILD ELEMENTARY SCHOOL,2016-17,Y,497,95.4,2.8,1.8,1,0,0,1.2,1.2,1.4,1.6,2,2,474,14,9,5,0,0,6,6,7,8,10,10,CLOVER PARK SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N,"10806 IDLEWILD RD SW
LAKEWOOD
(47.158505, -122.544596)"
CLOVER CREEK ELEMENTARY,2016-17,Y,741,94.7,3,0.7,1.9,0.3,0.1,2.3,2.2,2.2,2.4,2,2.6,702,22,5,14,2,1,17,16,16,18,15,19,BETHEL SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,Y,Y,"16715 36TH AVE E
TACOMA
(47.103221, -122.380953)"
FRANKLIN ELEMENTARY,2016-17,Y,420,89,10.2,3.3,6.4,1,0.5,5.5,5.5,6,6,8.3,7.6,374,43,14,27,4,2,23,23,25,25,35,32,SPOKANE SCHOOL DISTRICT,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,PK-6,Y,Y,"2627 E 17TH AVE
SPOKANE
(47.640191, -117.37177)"
BELLARMINE PREPARATORY SCHOOL,2016-17,Y,918,99.1,0.9,0.4,0.3,0.1,0,0.7,0.7,0.5,0.5,0.7,0.8,910,8,4,3,1,0,6,6,5,5,6,7,TACOMA SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,12-Sep,N,N,"2300 S WASHINGTON ST
TACOMA
(47.239169, -122.485258)"
DAYTON ELEMENTARY SCHOOL,2016-17,Y,198,90.4,4.5,1.5,2.5,0.5,0,3.5,3.5,4,4,4,3.5,179,9,3,5,1,0,7,7,8,8,8,7,DAYTON SCHOOL DISTRICT,COLUMBIA,EDUCATIONAL SERVICE DISTRICT 123,PK-6,Y,Y,"302 E PARK
DAYTON
(39.714727, -121.810542)"
EAST RIDGE ELEMENTARY,2016-17,Y,322,90.4,6.2,0.3,6.2,0.3,0,3.4,3.4,4,5.3,4.7,6.2,291,20,1,20,1,0,11,11,13,17,15,20,NORTHSHORE SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,Y,Y,"22150 NE 156 PL
WOODINVILLE
(47.740918, -122.042303)"
ALL SAINTS SCHOOL,2016-17,Y,92,98.9,0,0,0,0,0,1.1,1.1,1.1,1.1,1.1,1.1,91,0,0,0,0,0,1,1,1,1,1,1,FIFE SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-2,Y,N,"2323 54TH AVE E
FIFE
(47.235935, -122.357145)"
ILLAHEE ELEMENTARY SCHOOL,2016-17,Y,609,77.5,5.3,0.3,4.1,0.3,0.7,4.1,3.9,4.3,4.4,4.8,4.4,472,32,2,25,2,4,25,24,26,27,29,27,EVERGREEN SCHOOL DISTRICT (CLARK),CLARK,EDUCATIONAL SERVICE DISTRICT 112,K -5,Y,N,"19401 SE 1ST STREET
CAMAS
(45.621247, -122.474469)"
ENDEAVOUR INTERMEDIATE,2016-17,Y,588,94.7,4.3,1,2.7,0.5,0,3.4,3.4,3.6,3.2,2.9,3.7,557,25,6,16,3,0,20,20,21,19,17,22,FIFE SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,5-Feb,N,N,"1304 17TH AVENUE
MILTON
(47.247742, -122.312216)"
AUBURN MOUNTAINVIEW HIGH SCHOOL,2016-17,Y,1517,83.9,4.6,1.1,3.6,0.1,0.1,3,2.8,1.9,1.8,2,2.1,1273,70,16,55,1,1,45,43,29,27,31,32,AUBURN SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,12-Sep,N,N,"28900 124TH AVE SE
AUBURN
(47.34257, -122.176188)"
BAINBRIDGE HIGH SCHOOL,2016-17,Y,1304,93.8,5.5,0.8,4.5,0.2,0.1,2.6,2.2,2.9,2.5,4.4,3.1,1223,72,10,59,3,1,34,29,38,32,58,40,BAINBRIDGE ISLAND SCHOOL DISTRICT,KITSAP,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,12-Sep,N,N,"9330 NE HIGH SCHOOL RD
BAINBRIDGE ISLAND
(47.63589, -122.532519)"
EISENHOWER HIGH SCHOOL,2016-17,Y,2094,95.2,2,1.1,0.8,0,0,0.8,0.7,0.4,0.5,0.6,1.3,1994,41,23,17,1,0,16,14,8,10,12,27,YAKIMA SCHOOL DISTRICT,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,12-Sep,N,N,"702 S 40TH AVE
YAKIMA
(46.590919, -120.561923)"
BROADVIEW-THOMSON K-8 SCHOOL,2016-17,Y,611,85.9,5.1,1.6,3.4,0.3,0,2.8,2.8,3.3,2.8,2.9,4.6,525,31,10,21,2,0,17,17,20,17,18,28,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-8,Y,Y,"13052 GREENWOOD AV N
SEATTLE
(47.724526, -122.355568)"
BROOKSIDE ELEMENTARY,2016-17,Y,503,92.2,7,1,6.2,0,0,3.2,2.4,2.8,4,5.8,4.8,464,35,5,31,0,0,16,12,14,20,29,24,SHORELINE SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,Y,Y,"17447 37TH AVENUE N.E.
LAKE FOREST PARK
(47.755283, -122.289303)"
EVERGREEN HEIGHTS ELEMENTARY,2016-17,Y,500,90.2,4.4,0.2,3.4,0.8,0,3.4,3.2,3.8,3.4,2,4,451,22,1,17,4,0,17,16,19,17,10,20,AUBURN SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N,"5602 S 316TH ST
AUBURN
(47.318782, -122.264346)"
EINSTEIN ELEMENTARY,2016-17,Y,424,95,3.5,0.9,2.8,0,0,2.1,2.4,2.6,2.8,1.7,2.1,403,15,4,12,0,0,9,10,11,12,7,9,LAKE WASHINGTON SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N,"18025 NE 116TH
REDMOND
(47.703592, -122.098469)"
DWIGHT D EISENHOWER ELEMENTARY,2016-17,Y,568,92.1,6.2,0.4,5.3,0.5,0,5.1,5.1,5.1,5.1,4.8,4.9,523,35,2,30,3,0,29,29,29,29,27,28,VANCOUVER SCHOOL DISTRICT,CLARK,EDUCATIONAL SERVICE DISTRICT 112,K -5,Y,N,"9201 NW 9TH AVE
VANCOUVER
(45.687964, -122.679572)"
HATHAWAY ELEMENTARY,2016-17,Y,414,93.7,4.8,1,2.9,0.7,0.5,3.1,3.1,3.9,2.9,2.2,3.9,388,20,4,12,3,2,13,13,16,12,9,16,WASHOUGAL SCHOOL DISTRICT,CLARK,EDUCATIONAL SERVICE DISTRICT 112,K -5,Y,N,"630 24TH ST
WASHOUGAL
(45.581901, -122.34659)"
BISHOP BLANCHET HIGH SCHOOL,2016-17,Y,888,95.9,1.8,0,1.8,0,0,0.9,0.9,1.1,1.2,0.9,1.4,852,16,0,16,0,0,8,8,10,11,8,12,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,12-Sep,N,N,"8200 WALLINGFORD AVE N
SEATTLE
(47.68958, -122.33644)"
ASSUMPTION ST. BRIDGET,2016-17,Y,527,94.5,1.9,0.4,1.5,0,0,1.3,1.3,1.5,1.5,1.7,1.5,498,10,2,8,0,0,7,7,8,8,9,8,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K-8,Y,Y,"6220 32ND AVE NE
SEATTLE
(47.675064, -122.293281)"
BONNEY LAKE HIGH SCHOOL,2016-17,Y,1427,82,7.2,2.3,4.7,0.4,0,3.2,2.7,2.7,2.2,3.1,4.6,1170,103,33,67,6,0,46,38,38,32,44,65,SUMNER SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,12-Sep,N,N,"10920 199TH AVE CT E
BONNEY LAKE
(47.158058, -122.164068)"
